截然 截面 截全 截相 截接 完然 完面 完全 完相 完接 全然 全面 全全 全相 全接 迥然 迥面 迥全 迥相 迥接 自然 自面 自全 自相 自接 相 全
分外 分别 分分 分内 分常 特外 特别 特分 特内 特常 份外 份别 份分 份内 份常 别外 别别 别分 别内 别常 倍外 倍别 倍分 倍内 倍常 很 外
委实 委真 委實 委実 委切 确实 确真 确實 确実 确切 真实 真真 真實 真実 真切 凄实 凄真 凄實 凄実 凄切 由实 由真 由實 由実 由切 实 真
定然 定定 定也 定确 定是 必然 必定 必也 必确 必是 固然 固定 固也 固确 固是 肯然 肯定 肯也 肯确 肯是 当然 当定 当也 当确 当是 ， 也
鲜有 鲜少 鲜乏 鲜无 鲜能 没有 没少 没乏 没无 没能 未有 未少 未乏 未无 未能 只有 只少 只乏 只无 只能 罕有 罕少 罕乏 罕无 罕能 鲜 没
酣畅 酣暢 酣爽 酣快 酣捷 畅畅 畅暢 畅爽 畅快 畅捷 流畅 流暢 流爽 流快 流捷 快畅 快暢 快爽 快快 快捷 舒畅 舒暢 舒爽 舒快 舒捷 畅 地
旋即 旋后 旋便 旋接 旋又 随即 随后 随便 随接 随又 然即 然后 然便 然接 然又 迅即 迅后 迅便 迅接 迅又 转即 转后 转便 转接 转又 又 便
秉公 秉私 秉法 秉诚 秉义 遵公 遵私 遵法 遵诚 遵义 依公 依私 依法 依诚 依义 奉公 奉私 奉法 奉诚 奉义 凭公 凭私 凭法 凭诚 凭义 公 好
霍地 霍然 霍时 霍后 霍即 蓦地 蓦然 蓦时 蓦后 蓦即 再地 再然 再时 再后 再即 当地 当然 当时 当后 当即 特地 特然 特时 特后 特即 又 也
蓦地 蓦然 蓦时 蓦次 蓦的 猛地 猛然 猛时 猛次 猛的 陡地 陡然 陡时 陡次 陡的 顿地 顿然 顿时 顿次 顿的 驀地 驀然 驀时 驀次 驀的 又 也
竭力 竭量 竭心 竭意 竭利 努力 努量 努心 努意 努利 尽力 尽量 尽心 尽意 尽利 致力 致量 致心 致意 致利 积力 积量 积心 积意 积利 要 想
毋庸 毋须 毋毋 毋必 毋无 勿庸 勿须 勿毋 勿必 勿无 无庸 无须 无毋 无必 无无 不庸 不须 不毋 不必 不无 恕庸 恕须 恕毋 恕必 恕无 毋 庸
悉心 悉情 悉于 悉意 悉身 细心 细情 细于 细意 细身 尽心 尽情 尽于 尽意 尽身 专心 专情 专于 专意 专身 耐心 耐情 耐于 耐意 耐身 多 心
业已 业经 业将 业未 业刚 早已 早经 早将 早未 早刚 均已 均经 均将 均未 均刚 已已 已经 已将 已未 已刚 都已 都经 都将 都未 都刚 已 业
骤然 骤时 骤而 骤渐 骤烈 陡然 陡时 陡而 陡渐 陡烈 忽然 忽时 忽而 忽渐 忽烈 迅然 迅时 迅而 迅渐 迅烈 猛然 猛时 猛而 猛渐 猛烈 又 然
纯粹 纯纯 纯正 纯单 纯洁 单粹 单纯 单正 单单 单洁 简粹 简纯 简正 简单 简洁 真粹 真纯 真正 真单 真洁 粹粹 粹纯 粹正 粹单 粹洁 它 纯
缘何 缘谁 缘此 缘缘 缘啥 緣何 緣谁 緣此 緣缘 緣啥 为何 为谁 为此 为缘 为啥 因何 因谁 因此 因缘 因啥 何何 何谁 何此 何缘 何啥 何 缘
屡次 屡屡 屡度 屡常 屡续 频次 频屡 频度 频常 频续 多次 多屡 多度 多常 多续 常次 常屡 常度 常常 常续 经次 经屡 经度 经常 经续 常 屡
行将 行已 行经 行未 行于 即将 即已 即经 即未 即于 已将 已已 已经 已未 已于 尚将 尚已 尚经 尚未 尚于 必将 必已 必经 必未 必于 将 已
素日 素天 素时 素夜 素年 平日 平天 平时 平夜 平年 每日 每天 每时 每夜 每年 整日 整天 整时 整夜 整年 白日 白天 白时 白夜 白年 日 每
