截然 截相 截接 完全 完然 完美 全然 全相 全面 直接 直然 直相 断然 断相 断接 相 不
分外 分别 分分 特外 特别 特里 倍外 倍感 倍分 外外 外分 外表 非常 非外 非分 分 外
委实 委實 委真 充实 充分 充實 婉实 婉實 婉为 真实 真正 真是 枉实 枉實 枉真 实 真
定然 定定 定是 必然 必定 必须 固然 固定 固样 肯然 肯定 肯样 确然 确定 确实 也 ，
鲜有 鲜少 鲜见 没有 没人 没见 未有 未见 未少 鮮有 鮮少 鮮见 少有 少见 少少 鲜 没
酣畅 酣暢 酣利 畅畅 畅快 畅顺 潇畅 潇洒 潇爽 舒畅 舒适 舒缓 愉畅 愉快 愉悦 畅 地
旋即 旋便 旋后 随即 随后 随便 然后 然即 然而 转身 转而 转即 迅即 迅速 迅后 又 即
秉公 秉法 秉正 遵公 遵法 遵规 照公 照法 照常 坚公 坚持 坚决 依法 依公 依规 公 秉
猛地 猛的 猛然 急地 急忙 急速 立即 立刻 立地 再次 再度 再地 忽地 忽然 忽又 又 也
蓦地 蓦然 蓦的 驀地 驀然 驀时 猛地 猛然 猛的 刹地 刹时 刹那 忽然 忽地 忽之 也 又
竭力 竭量 竭于 努力 努量 努图 尽力 尽量 尽情 积极 积力 积量 极力 极量 极限 力 能
毋庸 毋须 毋需 无庸 无需 无须 不庸 不需 不须 宁庸 宁须 宁毋 勿庸 勿须 勿需 庸 毋
悉心 悉情 悉意 细心 细加 细细 深心 深加 深厚 勤心 勤加 勤于 详心 详加 详意 心 勤
业已 业经 业未 均已 均经 均未 全已 全部 全数 業已 業经 業未 已经 已已 已将 已 业
骤然 骤而 骤时 忽然 忽而 忽后 突然 突而 突间 陡然 陡时 陡而 遽然 遽而 遽时 然 而
纯粹 纯纯 纯洁 純粹 純纯 純单 单纯 单粹 单一 简粹 简单 简纯 粹粹 粹纯 粹单 纯 粹
缘何 缘来 缘由 何为 何所 何以 为何 为甚 为谁 緣何 緣甚 緣由 如何 如今 如此 何 谁
屡次 屡屡 屡度 经常 经次 经屡 频繁 频次 频频 多次 多度 多年 常常 常年 常会 常 屡
行将 行已 行將 已经 已将 已被 即将 即將 即已 将将 将要 将被 临将 临时 临近 将 已
素日 素时 素夜 每日 每天 每次 平日 平时 平天 日日 日子 日常 整日 整天 整晚 日 素
猝然 猝发 猝死 突然 突发 突出 罕见 罕有 罕然 忽然 忽发 忽目 偶然 偶发 偶尔 大 新
骄傲 骄矜 骄奢 傲慢 傲娇 傲矜 卑傲 卑矜 卑微 矜矜 矜持 矜傲 谦逊 谦卑 谦虚 傲 矜
嗔怪 嗔疑 嗔蔑 娇嗔 娇怪 娇媚 傲娇 傲慢 傲蔑 怨恨 怨怪 怨气 邪怪 邪恶 邪蔑 怪 笑
惊骇 惊悚 惊恐 震骇 震惊 震撼 悲骇 悲伤 悲愤 害怕 害骇 害恐 恐骇 恐惧 恐吓 骇 惊
惯常 惯时 惯往 原来 原本 原常 往常 往往 往前 以往 以前 以常 平常 平时 平日 他 它
