截然 截接 截相 迥然 迥相 迥接 虽然 虽接 虽相 纵然 纵相 纵接 孤然 孤相 孤接 相 不
分外 分分 分是 特外 特分 特是 十外 十分 十是 非外 非分 非是 很是 很外 很分 很 分
委实 委为 委分 真实 真是 真为 实实 实为 实是 确实 确为 确分 非实 非为 非分 真 太
必然 必定 必是 一然 一定 一样 ，然 ，也 ，定 定然 定定 定是 固然 固定 固不 ， 也
不能 不愿 不是 没有 没能 没愿 未有 未能 未愿 鲜有 鲜能 鲜愿 并有 并能 并愿 非 不
酣畅 酣缓 酣暢 流畅 流缓 流暢 舒畅 舒缓 舒快 自畅 自缓 自快 动畅 动缓 动快 地 般
旋即 旋后 旋便 随即 随后 随刻 迅即 迅后 迅速 立即 立后 立身 然即 然后 然便 又 再
依法 依性 依真 认法 认性 认真 严法 严性 严真 谨法 谨性 谨真 正法 正性 正真 善 真
猛地 猛的 猛得 急地 急着 急速 赶地 赶速 赶即 立地 立速 立即 连地 连速 连即 地 又
突然 突前 突时 忽然 忽前 忽时 猛然 猛地 猛前 蓦然 蓦地 蓦前 倏然 倏前 倏时 也 都
竭力 竭图 竭尽 努力 努图 努尽 尽力 尽图 尽尽 积力 积图 积尽 倾力 倾图 倾尽 要 力
毋需 毋须 毋应 不需 不应 不用 无需 无须 无应 请要 请请 请能 应需 应该 应能 请 应
悉心 悉真 悉意 细心 细真 细意 耐心 耐真 耐意 尽心 尽真 尽意 勤心 勤真 勤意 心 多
已已 已将 已经 纷已 纷将 纷经 有人 有已 有数 即已 即将 即经 今已 今将 今经 已 将
骤然 骤即 骤而 突然 突即 突而 忽然 忽即 忽而 猛然 猛即 猛而 陡然 陡即 陡而 然 而
生命 生在 生去 其命 其在 其有 无命 无在 无有 这命 这在 这有 人命 人在 人限 新 它
缘何 缘否 缘此 何何 何来 何为 为何 为否 为甚 如何 如否 如此 緣何 緣否 緣此 何 谁
屡次 屡屡 屡易 频次 频屡 频易 多次 多屡 多易 屢次 屢屡 屢易 经次 经屡 经易 屡 常
濒经 濒已 濒将 已经 已已 已将 几经 几已 几将 早经 早已 早将 近经 近已 近将 已 将
每次 每天 每年 今天 今年 今次 昨天 昨次 昨年 天天 天次 天上 一天 一次 一年 一 天
猝然 猝样 猝天 突然 突样 突天 猛然 猛样 猛天 急然 急样 急天 惊然 惊天 惊样 新 大
骄矜 骄傲 骄虚 谦矜 谦傲 谦贱 傲矜 傲傲 傲贱 羞矜 羞傲 羞扬 自矜 自傲 自扬 骄 傲
嗔怪 嗔笑 嗔嗔 憨嗔 憨羞 憨笑 喃嗔 喃羞 喃笑 偷嗔 偷羞 偷奈 羞嗔 羞羞 羞笑 轻 笑
惊骇 惊吓 惊愕 兴心 兴张 兴动 害心 害张 害动 高心 高张 高动 伤心 伤张 伤动 心 惊
以前 以去 以常 往前 往常 往往 原前 原去 原常 过前 过去 过往 平前 平常 平往 他 我
诚然 诚而 诚得 虽然 虽而 虽得 实然 实而 实得 必然 必而 必得 当然 当而 当得 然 诚
唯独 唯， 唯只 独独 独立 独单 惟独 惟只 惟单 只独 只有 只只 单独 单单 单唯 独 唯
大抵 大约 大致 至约 至抵 至致 一约 一抵 一致 甚约 甚抵 甚致 小约 小抵 小致 约 大
不时 不断 不常 时时 时常 时曾 经时 经常 经断 常时 常常 常断 多时 多常 多断 曾 常
鼎力 鼎劲 鼎心 竭力 竭劲 竭心 钜力 钜劲 钜心 钵力 钵劲 钵心 寄力 寄劲 寄心 力 帮
何妨 何焉 何碍 无妨 无焉 无碍 如妨 如焉 如碍 甚妨 甚焉 甚何 怎妨 怎碍 怎焉 何 妨
竭诚 竭力 竭身 尽诚 尽力 尽身 全诚 全力 全身 继诚 继力 继身 真诚 真身 真续 再 ，
径自 径而 径身 转身 转而 转着 继自 继身 继续 立身 立自 立续 直接 直身 直自 又 他
尽早 尽时 尽一 逐一 逐早 逐时 按一 按时 按早 依一 依时 依早 分早 分时 分一 都 多
愈益 愈渐 愈趋 逐益 逐渐 逐趋 渐益 渐渐 渐趋 日益 日渐 日趋 更益 更趋 更渐 愈 也
联袂 联手 联绾 携袂 携手 携袖 合袂 合手 合袖 共袂 共手 共袖 连袂 连手 连袖 袂 齐
断然 断接 断样 拒然 拒接 拒绝 直然 直接 直样 依然 依接 依样 决然 决接 决样 断 也
再者 再次 再后 第者 第次 第先 另者 另次 另后 其者 其次 其后 最者 最次 最后 者 三
纯属 纯是 纯为 只属 只是 只为 粹属 粹是 粹非 純属 純是 純非 全属 全是 全为 纯 ，
坦诚 坦实 坦虚 直诚 直实 直虚 诚诚 诚实 诚虚 真诚 真实 真虚 自诚 自虚 自实 诚 多
竟然 竟竟 竟是 突然 突是 突竟 赶然 赶是 赶紧 立然 立是 立紧 只然 只是 只紧 竟 她
再三 再次 再再 三三 三次 三再 二三 二次 二再 两三 两次 两再 一三 一再 一次 三 再
全然 全全 全而 完然 完全 完竟 浑然 浑全 浑竟 半然 半全 半而 尽然 尽全 尽竟 全 然
极为 极常 极其 甚为 甚常 甚其 尤为 尤常 尤其 颇为 颇常 颇其 十为 十常 十其 很 为
娓娓 娓慢 娓悄 慢娓 慢慢 慢悄 悄娓 悄慢 悄悄 悠娓 悠慢 悠悄 细娓 细慢 细悄 娓 慢
完整 完美 完满 尽整 尽美 尽满 愉整 愉美 愉满 安整 安美 安静 彻整 彻美 彻满 一次又一 尽一无无 如一次又 风一无无 完无无无
惊奋 惊动 惊吓 激奋 激动 激怒 高奋 高动 高怒 兴奋 兴动 兴怒 感奋 感动 感吓 笑 哭
极品 极好 极美 绝品 绝人 绝货 太品 太人 太痴 真品 真的 真爱 好品 好人 好货 极 品
辣辣 辣火 辣烫 火辣 火烫 火着 烧辣 烧着 烧烫 热辣 热烫 热火 烫辣 烫烫 烫火
莫妙 莫名 莫然 悄名 悄妙 悄然 突妙 突名 突然 忽妙 忽名 忽然 惊妙 惊名 惊然 莫名其妙 不名名名 突名名名 异名其妙 无名其妙
利索 利利 利快 顺索 顺利 顺快 用索 用利 用快 快索 快利 快快 迅索 迅利 迅快 索 利
默慢 默默 默力 慢慢 慢默 慢缓 自慢 自默 自静 悠慢 悠默 悠力 顽慢 顽默 顽力 不可能长 一年又一 自不知不 毫不留痕 如不可能
蹑脚 蹑手 蹑偷 悄脚 悄手 悄偷 匆脚 匆手 匆偷 偷脚 偷偷 偷手 乖脚 乖手 乖偷 蹑手蹑脚 伺手手手 踱手手脚 伸手蹑手 匍手手手
自情 自然 自偷 兴情 兴偷 兴然 高情 高偷 高然 欢情 欢偷 欢然 慢情 慢偷 慢然 偷 悄
端庄 端敬 端肃 高庄 高肃 高静 低庄 低肃 低敬 庄庄 庄敬 庄肃 绅庄 绅肃 绅敬 庄 敬
慎重 慎慎 慎厚 谨重 谨慎 谨厚 严重 严慎 严厚 酌重 酌慎 酌厚 虔重 虔慎 虔厚 慎 谨
呕血 呕心 呕泪 为他 为我 为谁 一次 一人 一心 写心 写血 写钱 继心 继血 继泪 呕心沥血 血心沥血 尽心尽力 倾心沥血 竭心沥血
急切 急急 急着 紧急 紧切 紧忙 迫急 迫切 迫忙 匆急 匆切 匆忙 忙急 忙切 忙忙 急 迫
平快 平静 平智 安快 安静 安智 礼快 礼静 礼智 简快 简静 简智 温快 温静 温智 快 早
狡黠 狡猾 狡腆 笨黠 笨猾 笨腆 诡黠 诡猾 诡腆 羞黠 羞猾 羞腆 腼黠 腼猾 腼腆 笑 傻
才能 才会 才是 可能 可会 可以 做会 做才 做能 看能 看会 看来 吃会 吃能 吃来 才 会
炒鸡 炒鸟 炒雞 酱鸡 酱雞 酱鸟 爆鸡 爆雞 爆鸟 操鸡 操雞 操鸟 很鸡 很不 很是 很 好
颠簸 颠曳 颠驶 翻簸 翻转 翻曳 摇簸 摇曳 摇转 疾簸 疾转 疾曳 辗簸 辗转 辗曳 颠 急
老了 老啊 老的 你看 你啊 你来 哎呀 哎啊 哎哟 卧啊 卧了 卧哈 哈啊 哈哈 哈了 哎 唉
彼此 彼彼 彼相 互此 互相 互彼 相此 相相 相互 此此 此彼 此相 各此 各彼 各相 此 相
纵然 纵虽 纵管 虽然 虽虽 虽管 尽然 尽虽 尽管 即然 即虽 即管 縱然 縱虽 縱管 然 虽
愕然 愕慌 愕许 诧然 诧慌 诧许 惊然 惊慌 惊绝 讶然 讶慌 讶许 茫然 茫慌 茫许 愕 诧
惊愕 惊讶 惊诧 震愕 震讶 震诧 愕愕 愕讶 愕诧 惶愕 惶讶 惶诧 诧愕 诧讶 诧诧 愕 诧
仓惶 仓[UNK] 仓慌 惊慌 惊然 惊惶 慌慌 慌然 慌虑 措神 措知 措慌 惶惶 惶慌 惶恐 了 有
僻静 僻僻 僻谧 安静 安僻 安净 静静 静僻 静谧 幽静 幽僻 幽净 偏静 偏僻 偏净 静 僻
平庸 平凡 平平 庸庸 庸凡 庸通 普庸 普凡 普通 粗庸 粗凡 粗通 低庸 低凡 低通 庸 平
伶俐 伶明 伶钝 聪俐 聪明 聪钝 俐俐 俐明 俐钝 敏俐 敏明 敏钝 尖俐 尖明 尖钝 好 钝
黯淡 黯暗 黯沉 暗淡 暗暗 暗黑 昏淡 昏暗 昏黑 淡淡 淡暗 淡浅 微淡 微暗 微黑 淡 暗
魁梧 魁厚 魁壮 粗梧 粗厚 粗壮 肥梧 肥厚 肥壮 挺梧 挺厚 挺壮 强梧 强厚 强壮 魁 梧
喧闹 喧攘 喧嚣 吵闹 吵嚣 吵攘 嘈闹 嘈嚣 嘈攘 繁闹 繁嚣 繁攘 忙闹 忙嚣 忙攘 闹 我
缜密 缜细 缜重 严密 严细 严重 精密 精细 精谨 深密 深细 深苦 认密 认细 认重 缜 再
轻盈 轻[UNK] 轻柔 纤盈 纤柔 纤松 輕盈 輕柔 輕松 悠盈 悠柔 悠松 重盈 重柔 重松 轻 盈
丰腴 丰盈 丰美 纤腴 纤盈 纤美 婀腴 婀盈 婀美 肥腴 肥盈 肥美 健美 健盈 健腴 瘦 美
巍峨 巍巍 巍伟 苍峨 苍巍 苍伟 伟峨 伟巍 伟伟 峨峨 峨巍 峨伟 壮峨 壮巍 壮伟 峨 巍
璀璨 璀烁 璀闪 辉璨 辉烁 辉闪 珍璨 珍烁 珍闪 灿璨 灿烁 灿闪 耀璨 耀烁 耀闪 璀 璨
凌厉 凌厲 凌烈 严厉 严厲 严烈 猛厉 猛厲 猛烈 凶厉 凶厲 凶烈 狂厉 狂厲 狂烈 厉 猛
