截然不同 迥然不同 绝然 迥然相异 迥然 全然不同 相悖 大相径庭 泾渭分明 迥异
格外 十分 分外夺目 尤为 倍觉 颇为 越发 愈加 分外妖娆 显得
实在 着实 实是 著实 确实 未免 确乎 实在太 简直 真是
必定 肯定 定是 想必 只怕 定是要 定会 必然 那定 说不定
少有 鲜少 绝少 很少 未有 极少 鲜见 甚少 罕有 未见
酣畅淋漓 畅快 痛快淋漓 淋漓 墨畅 淋淳 爽劲 畅逸 笔酣墨饱 笔饱墨酣
随即 迅即 遂即 瞬即 立刻 立即 当即 即刻 便 随后
秉公执法 秉公办事 秉公无私 公正廉明 秉公而断 秉公处理 不徇私情 廉明公正 廉洁奉公 秉公办理
猛地 忽地 倏地 蓦地 霍然 呼地站 呼地 愣怔 霍一声 愣怔怔
忽地 倏地 猛地 忽然 猛然 倏然 猛然间 蓦然 霍地 突地
极力 力图 尽力 竭尽全力 拚命 竭尽力量 竭力反对 设法 千方百计 竭力支持
无庸 毋庸赘言 毋庸赘述 毋庸置疑 无庸赘述 赘言 毋容 不容置疑 无庸置疑 勿庸置疑
精心 苦心 细心 悉心照料 潜心 精心培养 细心地 精心照料 潜心研究 尽心
已 已经 已然 早已 即已 现已 确已 久已 都已 行将
陡然 遽然 猛然 倏然 突然 猝然 顿然 突然间 骤 忽然
单纯 纯然 那纯 那是纯 纯纯 真最纯 真纯 完完全全 才是纯 非功利性
为何 因何 何以 何会 岂能 之所以 何能 何故 为啥 怎会
屡屡 多次 曾多次 屡 一再 数次 数度 曾几次 频频 曾两次
即将 将要 行将崩溃 行将灭亡 行将就木 快要 业已 国行将 终将 即将来临
平素 平日 青日里 素昔 连朕 福嫔 白日里 素常 袁素 成日家
遽然 突然 骤然 猛然 倏然 忽然 突然间 猝 乍然 溘然
虚骄 自矜 矜功 骄纵 自傲 倨傲 骄慢 骄态 骄横 娇骄
嗔怨 嗔着 娇嗔 怨怪 佯嗔 嗔责 薄怒 着恼 嗔怒 抱怨地
